age,gender,multilingual_household?,state,current_state?,same_as_childhood?,you_nom,yall_nom,you_guys_nom,your_poss,yalls_poss,you_guys_poss,you_guyses_poss,your_guyses_poss,yours_emph,yalls_emph,you_guys_emph,you_guyses_emph,your_guyses_emph
18-24,Female,Yes,California,No,No,1,3,2,2,5,4,3,1,1,5,4,2,3
18-24,Male,No,South_Dakota,No,No,2,3,1,2,3,4,5,1,2,3,4,5,1
18-24,Female,No,South_Dakota,Yes,Yes,2,3,1,2,5,4,3,1,1,4,5,3,2
18-24,Female,No,Tennessee,No,No,3,1,2,2,1,3,4,5,2,1,4,3,5
18-24,Male,No,Ontario,Yes,Yes,2,3,1,1,4,3,5,2,1,2,4,5,3
18-24,Female,No,Louisiana,Yes,Yes,3,1,2,4,1,5,2,3,3,1,5,4,2
18-24,Female,No,South_Dakota,No,Yes,2,3,1,2,5,3,4,1,2,5,4,3,1
18-24,Male,No,Washington,No,Yes,3,2,1,1,3,5,4,2,1,2,5,4,3
25-34,Male,No,South_Dakota,Yes,Yes,1,3,2,1,5,4,2,3,1,5,4,3,2
25-34,Agender,No,Michigan,Yes,No,2,3,1,1,5,4,3,2,2,5,4,3,1
25-34,Non-binary,No,British_Columbia,Yes,Yes,2,3,1,2,3,5,4,1,1,3,4,5,2
25-34,Male,Yes,Manitoba,Yes,Yes,1,3,2,1,5,2,3,4,1,4,5,2,3
35-44,Male,No,New_York,Yes,Yes,2,3,1,1,2,3,4,5,1,5,3,2,4
25-34,Female,No,Illinois,Yes,Yes,2,3,1,3,5,4,2,1,2,5,4,3,1
65-74,Female,No,Illinois,No,Yes,1,3,2,1,3,4,5,2,1,3,2,5,4
18-24,Female,Yes,Illinois,No,Yes,1,3,2,1,4,2,5,3,1,4,5,2,3
18-24,Male,No,Washington,Yes,Yes,3,1,2,1,4,5,3,2,1,2,5,4,3
18-24,Female,Yes,Idaho,No,Yes,2,3,1,1,5,4,3,2,1,3,5,4,2
18-24,Female,No,Washington,Yes,Yes,3,2,1,2,3,5,4,1,1,3,5,4,2
18-24,Female,No,Maine,No,Yes,2,3,1,1,4,3,5,2,1,3,5,4,2
25-34,Male,Yes,Ontario,Yes,Yes,2,1,3,1,5,3,4,2,1,5,2,4,3
18-24,Female,No,Virginia,No,Yes,3,2,1,1,3,5,4,2,1,3,5,4,2
18-24,Female,No,Wisconsin,Yes,Yes,2,3,1,2,3,5,4,1,2,3,5,4,1
25-34,Non-binary (AFAB),No,Nova_Scotia,No,No,2,3,1,2,5,3,4,1,2,5,4,3,1
18-24,Male,No,Wisconsin,No,Yes,2,3,1,1,4,5,2,3,1,3,5,2,4
18-24,Female,No,Washington,Yes,Yes,3,2,1,2,3,5,4,1,1,2,5,4,3
55-64,Female,No,Illinois,Yes,Yes,1,2,3,1,5,4,3,2,1,5,2,3,4
25-34,Female,Yes,Ontario,Yes,Yes,3,2,1,1,4,3,5,2,1,2,3,4,5
18-24,Female,No,Washington,Yes,Yes,1,2,3,3,4,5,1,2,1,3,5,4,2
25-34,Female,No,Ontario,Yes,Yes,2,3,1,1,5,3,4,2,2,5,4,3,1
25-34,Female,Yes,Texas,Yes,Yes,2,1,3,2,1,5,4,3,3,1,5,2,4
18-24,Male,Yes,Washington,Yes,Yes,3,2,1,2,3,5,4,1,1,2,5,4,3
25-34,Female,No,Massachusetts,No,Yes,2,3,1,1,5,2,4,3,1,2,5,3,4
25-34,Male,No,New_Jersey,No,Yes,2,3,1,1,4,5,3,2,1,3,2,4,5
18-24,Female,No,Washington,No,Yes,1,3,2,1,5,4,2,3,1,2,5,4,3
25-34,Male,No,Ontario,Yes,Yes,2,3,1,1,5,3,4,2,1,5,2,3,4
25-34,Female,Yes,Ontario,Yes,Yes,2,3,1,1,5,3,4,2,1,5,3,4,2
25-34,Male,No,Rhode_Island,No,No,3,2,1,1,2,5,4,3,1,2,5,3,4
25-34,Female,No,Ontario,No,No,1,3,2,1,2,5,4,3,1,2,5,3,4
18-24,Female,No,Maryland,No,Yes,3,2,1,1,4,5,3,2,1,3,5,4,2
25-34,Female,No,Ontario,Yes,Yes,1,3,2,1,4,5,3,2,1,4,5,3,2
65-74,Female,Yes,Ontario,Yes,Yes,3,2,1,1,4,5,3,2,1,4,5,3,2
25-34,Male,No,Texas,Yes,Yes,2,1,3,1,2,5,4,3,1,2,3,4,5
18-24,Male,No,Indiana,No,Yes,3,2,1,1,2,3,4,5,1,2,5,4,3
18-24,Female,No,North_Carolina,No,Yes,3,2,1,1,2,3,4,5,1,2,5,3,4
25-34,Female,Yes,Washington,No,Yes,2,3,1,1,3,5,4,2,1,2,5,4,3
25-34,Male,No,Ohio,No,No,2,3,1,1,4,5,3,2,1,3,5,4,2
25-34,Male,Yes,California,Yes,Yes,2,3,1,2,5,4,3,1,2,4,5,3,1
55-64,Male,No,Alabama,Yes,Yes,2,1,3,2,1,3,4,5,2,1,4,3,5
18-24,Male,No,Washington,Yes,Yes,3,2,1,2,4,5,3,1,1,4,5,3,2
18-24,Male,No,Mississippi,No,Yes,2,1,3,2,1,5,4,3,1,2,3,5,4
18-24,Male,No,Alaska,No,No,2,3,1,1,4,5,3,2,1,4,5,3,2
18-24,Male,Yes,California,Yes,Yes,2,3,1,1,3,5,4,2,1,3,5,4,2
25-34,Male,Yes,Washington,Yes,Yes,1,3,2,1,3,4,5,2,1,4,5,3,2
18-24,Female,Yes,Connecticut,No,No,2,3,1,1,5,4,2,3,1,5,2,4,3
25-34,skip,Yes,California,No,Yes,1,3,2,2,5,4,3,1,2,4,5,3,1
18-24,Female,Yes,Illinois,Yes,Yes,2,3,1,1,5,4,3,2,1,5,4,3,2
25-34,Female,No,Ontario,Yes,Yes,3,1,2,2,4,5,3,1,1,2,4,5,3
18-24,Male,No,Iowa,No,Yes,1,3,2,3,4,1,2,5,1,3,5,4,2
18-24,Female,No,Maryland,No,Yes,1,3,2,1,5,4,3,2,1,4,5,3,2
35-44,Female,Yes,Nova_Scotia,No,Yes,2,3,1,2,5,3,4,1,1,5,4,2,3
18-24,Male,No,Colorado,No,No,2,3,1,2,3,5,4,1,1,3,5,4,2
18-24,Female,Yes,California,No,Yes,2,3,1,1,4,5,3,2,1,2,4,5,3
18-24,Female,Yes,Utah,No,Yes,2,3,1,2,4,5,3,1,1,4,5,2,3
55-64,Male,No,Illinois,Yes,Yes,1,3,2,4,3,2,5,1,1,3,2,4,5
35-44,Male,No,Illinois,No,Yes,1,3,2,1,5,4,3,2,3,1,5,2,4
18-24,Female,Yes,Washington,Yes,Yes,1,3,2,2,3,4,5,1,2,3,4,5,1
18-24,Female,No,Washington,Yes,Yes,3,2,1,2,4,5,3,1,2,4,5,3,1
18-24,Female,Yes,Washington,Yes,Yes,2,3,1,2,4,5,3,1,2,3,5,4,1
18-24,Female,Yes,Washington,Yes,Yes,1,3,2,1,3,5,4,2,1,3,5,4,2
18-24,Female,No,Washington,Yes,Yes,1,3,2,1,4,3,5,2,1,2,5,4,3
18-24,Female,Yes,Washington,Yes,Yes,2,3,1,1,3,5,4,2,1,2,5,4,3
18-24,Female,No,Washington,Yes,Yes,3,2,1,2,3,5,4,1,1,2,5,4,3
18-24,Female,Yes,Washington,Yes,Yes,2,3,1,1,4,5,3,2,1,5,3,4,2
18-24,Male,Yes,Pennsylvania,Yes,Yes,2,3,1,1,5,4,2,3,1,5,3,2,4
45-54,Female,No,Illinois,Yes,Yes,2,3,1,1,4,3,5,2,1,5,2,4,3
18-24,Male,Yes,Washington,Yes,Yes,2,3,1,1,5,4,3,2,1,4,5,3,2
18-24,Female,Yes,Washington,Yes,Yes,2,3,1,1,5,4,3,2,2,3,5,4,1
18-24,Male,No,Washington,Yes,No,2,3,1,2,3,5,4,1,1,3,5,4,2
18-24,Female,Yes,Washington,Yes,Yes,3,1,2,3,5,4,1,2,4,5,3,1,2
18-24,Male,Yes,Washington,Yes,Yes,2,3,1,3,1,2,5,4,2,4,3,5,1
35-44,Male,No,Illinois,Yes,Yes,1,3,2,1,5,2,4,3,1,3,5,4,2
18-24,Female,No,Washington,Yes,No,2,3,1,1,4,3,5,2,1,5,2,3,4
18-24,Female,No,Washington,Yes,Yes,3,2,1,2,3,4,5,1,3,2,5,4,1
25-34,Female,No,Illinois,No,No,3,2,1,1,3,4,5,2,2,5,3,4,1
65-74,Female,No,Illinois,Yes,Yes,2,3,1,2,1,3,4,5,1,3,5,2,4
55-64,Female,No,Nebraska,Yes,No,3,2,1,1,4,3,5,2,1,5,2,4,3
18-24,Male,Yes,Washington,Yes,Yes,2,1,3,4,3,1,5,2,2,3,1,4,5
45-54,Female,No,Illinois,Yes,Yes,2,3,1,1,3,2,4,5,1,2,4,3,5
45-54,Female,No,Illinois,Yes,Yes,3,2,1,1,5,2,4,3,5,1,4,3,2
18-24,Male,No,Alabama,Yes,Yes,2,1,3,1,2,5,4,3,2,1,5,4,3
18-24,Female,No,Nebraska,Yes,Yes,3,1,2,1,2,4,5,3,1,3,2,5,4
18-24,Female,Yes,South_Dakota,No,No,2,3,1,2,5,4,3,1,1,4,5,3,2
18-24,Female,No,California,Yes,Yes,3,2,1,1,4,5,3,2,1,3,5,4,2
18-24,Female,No,Louisiana,Yes,Yes,3,1,2,2,1,3,4,5,2,1,3,4,5
18-24,Male,No,South_Dakota,Yes,Yes,2,3,1,2,3,4,5,1,1,3,4,5,2
18-24,Female,Yes,Louisiana,Yes,Yes,3,2,1,1,3,5,4,2,1,2,5,4,3
45-54,Female,No,Illinois,No,No,2,3,1,1,5,3,4,2,1,5,2,4,3
18-24,Male,No,South_Dakota,No,Yes,1,3,2,1,5,4,2,3,1,5,4,3,2
45-54,Male,No,Illinois,No,No,1,3,2,1,5,3,4,2,1,5,3,2,4
18-24,Female,No,Illinois,Yes,Yes,2,3,1,3,5,4,2,1,4,5,2,3,1
35-44,Female,No,South_Dakota,Yes,Yes,2,3,1,3,5,4,2,1,5,2,1,3,4
18-24,Female,No,Kansas,No,No,2,1,3,1,3,4,5,2,5,4,1,3,2
18-24,Female,No,Texas,No,No,2,1,3,2,1,5,4,3,2,1,5,3,4
18-24,Female,No,Washington,No,Yes,1,2,3,3,2,5,4,1,3,1,5,4,2